Day,Time,Room,Subject,Full Detail
Monday,10.00-10.55 AM,CR-002,DnM,DnM - SD (301) / WSN - RR (002)
Monday,11.00-11.55 AM,CR-002,DIP,DIP - TJ (301) / FML - ND (002)
Monday,5.00-5.55 PM,CR-002,Radar,Radar -BVN (301) / CA (202)
Tuesday,11.00-11.55 AM,CR-002,DIP,DIP - TJ (301) / FML - ND (002)
Wednesday,9:00-9:55 AM,CR-002,Radar,Radar -BVN (301) / CA (202)
Wednesday,10.00-10.55 AM,CR-002,DIP,DIP - TJ (301) / FML - ND (002)
Thursday,9:00-9:55 AM,CR-002,Radar,Radar -BVN (301) / CA (202)
Thursday,2.00-2.55 PM,CR-002,DnM,DnM - SD (301) / WSN - RR (002)
Friday,10.00-10.55 AM,CR-002,DnM,DnM - SD (301) / WSN - RR (002)
Monday,5.00-5.55 PM,CR-202,Radar,Radar -BVN (301) / CA (202)
Wednesday,9:00-9:55 AM,CR-202,Radar,Radar -BVN (301) / CA (202)
Thursday,9:00-9:55 AM,CR-202,Radar,Radar -BVN (301) / CA (202)
Monday,10.00-10.55 AM,CR-301,DnM,DnM - SD (301) / WSN - RR (002)
Monday,11.00-11.55 AM,CR-301,DIP,DIP - TJ (301) / FML - ND (002)
Monday,5.00-5.55 PM,CR-301,Radar,Radar -BVN (301) / CA (202)
Tuesday,12.00-12.55 PM,CR-301,DIP,DIP - TJ (301) / FML - ND (002)
Wednesday,9:00-9:55 AM,CR-301,Radar,Radar -BVN (301) / CA (202)
Wednesday,10.00-10.55 AM,CR-301,DIP,DIP - TJ (301) / FML - ND (002)
Thursday,9:00-9:55 AM,CR-301,Radar,Radar -BVN (301)
Thursday,2.00-2.55 PM,CR-301,DnM,DnM - SD (301) / WSN - RR (002)
Friday,10.00-10.55 AM,CR-301,DnM,DnM - SD (301) / WSN - RR (002)
